name	Unique Positions	Total Tags
genome=/bigdata/stajichlab/shared/projects/SharpShooter/H_vitripennis_genome/annotation/genomes/Homalodisca_vitripennis.A6A7A9_masurca_v1.masked_RModeler.fasta	368101	1391421.0
fragmentLengthEstimate=150		
peakSizeEstimate=54		
tagsPerBP=0.000000		
averageTagsPerPosition=3.181		
averageTagLength=26.066		
gsizeEstimate=1180444818		
averageFragmentGCcontent=0.384		
singleTagFile=true		
scaffNB501406:416:H75G2BGXF:3:11507:13863:11807	1	1.0
scaffold_1	93	145.0
scaffold_10	160	179.0
scaffold_100	92	97.0
scaffold_1000	12	12.0
scaffold_10000	1	1.0
scaffold_10001	3	3.0
scaffold_10002	1	1.0
scaffold_10003	15	16.0
scaffold_10004	3	3.0
scaffold_10006	2	2.0
scaffold_1001	32	34.0
scaffold_10010	2	3.0
scaffold_10011	3	3.0
scaffold_10012	0	0.0
scaffold_10015	7	7.0
scaffold_10016	1	1.0
scaffold_10017	1	1.0
scaffold_1002	86	93.0
scaffold_10021	0	0.0
scaffold_10022	9	23.0
scaffold_10024	7	7.0
scaffold_10025	5	5.0
scaffold_10028	2	2.0
scaffold_10029	2	2.0
scaffold_1003	39	72.0
scaffold_10034	1	1.0
scaffold_10035	9	10.0
scaffold_10037	1	1.0
scaffold_10038	2	2.0
scaffold_1004	16	23.0
scaffold_10040	0	0.0
scaffold_10041	2	2.0
scaffold_10042	7	7.0
scaffold_10043	6	6.0
scaffold_10044	1	1.0
scaffold_10045	105	190.0
scaffold_10048	1	1.0
scaffold_1005	6	12.0
scaffold_10051	2	2.0
scaffold_10052	27	32.0
scaffold_10053	2	2.0
scaffold_10055	2	2.0
scaffold_10056	125	264.0
scaffold_10057	1	1.0
scaffold_10059	1	1.0
scaffold_1006	364	431.0
scaffold_10060	2	3.0
scaffold_10061	8	8.0
scaffold_10065	9	9.0
scaffold_1007	4	4.0
scaffold_10070	1	1.0
scaffold_10071	10	10.0
scaffold_10072	4	4.0
scaffold_10073	1	1.0
scaffold_10074	2	2.0
scaffold_10075	3	5.0
scaffold_10077	1	1.0
scaffold_10078	2	2.0
scaffold_1008	116	127.0
scaffold_10080	1	1.0
scaffold_10081	181	316.0
scaffold_10082	1	1.0
scaffold_10085	7	21.0
scaffold_10088	1	1.0
scaffold_10089	4	4.0
scaffold_1009	152	160.0
scaffold_10090	1	1.0
scaffold_10091	7	7.0
scaffold_10093	16	19.0
scaffold_10094	1	1.0
scaffold_10095	7	7.0
scaffold_10096	1	1.0
scaffold_10097	62	75.0
scaffold_10098	3	3.0
scaffold_10099	2	2.0
scaffold_101	80	83.0
scaffold_1010	8	10.0
scaffold_10100	10	11.0
scaffold_10102	3	3.0
scaffold_10103	1	1.0
scaffold_10106	1	1.0
scaffold_10107	2	2.0
scaffold_1011	5	6.0
scaffold_10113	2	3.0
scaffold_10114	2	2.0
scaffold_10115	2	5.0
scaffold_10116	1	1.0
scaffold_10117	7	7.0
scaffold_10118	0	0.0
scaffold_1012	11	11.0
scaffold_10120	1	1.0
scaffold_10121	1	1.0
scaffold_10122	1	1.0
scaffold_10123	2	2.0
scaffold_10125	3	3.0
scaffold_10129	1	1.0
scaffold_1013	62	68.0
scaffold_10130	1	2.0
scaffold_10131	3	3.0
scaffold_10132	1	1.0
scaffold_10133	0	0.0
scaffold_10134	0	0.0
scaffold_10136	18	30.0
scaffold_10137	10	11.0
scaffold_1014	13	15.0
scaffold_10142	1	1.0
scaffold_10144	1	1.0
scaffold_10147	2	2.0
scaffold_10148	5	5.0
scaffold_10149	2	2.0
scaffold_1015	12	15.0
scaffold_10150	1	1.0
scaffold_10151	1	1.0
scaffold_10152	1	1.0
scaffold_10153	5	5.0
scaffold_10154	92	120.0
scaffold_10155	2	2.0
scaffold_10158	2	2.0
scaffold_10159	3	3.0
scaffold_1016	53	57.0
scaffold_10160	2	3.0
scaffold_10163	2	3.0
scaffold_10164	2	2.0
