GC%	Total	Normalized Fraction(PDF)
0.000	6660.0	0.000655
0.007	7613.0	0.000749
0.013	3796.0	0.000373
0.020	4396.0	0.000432
0.027	6180.0	0.000608
0.033	7470.0	0.000735
0.040	9403.0	0.000925
0.047	11859.0	0.001166
0.053	15393.0	0.001514
0.060	19901.0	0.001957
0.067	26249.0	0.002581
0.073	35569.0	0.003497
0.080	46884.0	0.004610
0.087	62243.0	0.006120
0.093	82989.0	0.008160
0.100	110366.0	0.010852
0.107	147382.0	0.014492
0.113	204257.0	0.020085
0.120	290682.0	0.028583
0.127	415565.0	0.040862
0.133	591651.0	0.058177
0.140	848599.0	0.083443
0.147	1209532.0	0.118933
0.153	1723472.0	0.169469
0.160	2437369.0	0.239666
0.167	3418373.0	0.336128
0.173	4702098.0	0.462356
0.180	6314574.0	0.620911
0.187	8319149.0	0.818020
0.193	10709771.0	1.053089
0.200	13542021.0	1.331584
0.207	16779258.0	1.649901
0.213	20367554.0	2.002737
0.220	24202575.0	2.379834
0.227	28188192.0	2.771738
0.233	32233428.0	3.169506
0.240	36162726.0	3.555873
0.247	39870076.0	3.920415
0.253	43306060.0	4.258275
0.260	46367376.0	4.559293
0.267	48946455.0	4.812894
0.273	50981833.0	5.013032
0.280	52451406.0	5.157535
0.287	53359069.0	5.246785
0.293	53822776.0	5.292381
0.300	53748382.0	5.285066
0.307	53276019.0	5.238619
0.313	52464708.0	5.158843
0.320	51380643.0	5.052247
0.327	50000192.0	4.916507
0.333	48420131.0	4.761140
0.340	46620344.0	4.584168
0.347	44687476.0	4.394109
0.353	42658695.0	4.194620
0.360	40428547.0	3.975330
0.367	38173158.0	3.753558
0.373	35908264.0	3.530851
0.380	33594392.0	3.303329
0.387	31333572.0	3.081023
0.393	29039134.0	2.855411
0.400	26770074.0	2.632295
0.407	24580263.0	2.416972
0.413	22477078.0	2.210166
0.420	20510430.0	2.016786
0.427	18685216.0	1.837313
0.433	17015453.0	1.673126
0.440	15433469.0	1.517569
0.447	13942487.0	1.370962
0.453	12572450.0	1.236246
0.460	11358298.0	1.116859
0.467	10232814.0	1.006190
0.473	9200490.0	0.904682
0.480	8251855.0	0.811403
0.487	7411454.0	0.728767
0.493	6674726.0	0.656324
0.500	5969593.0	0.586989
0.507	5283564.0	0.519532
0.513	4686793.0	0.460851
0.520	4159775.0	0.409030
0.527	3659891.0	0.359876
0.533	3226353.0	0.317247
0.540	2840791.0	0.279334
0.547	2479346.0	0.243794
0.553	2153550.0	0.211758
0.560	1867693.0	0.183650
0.567	1600318.0	0.157359
0.573	1371364.0	0.134846
0.580	1169335.0	0.114980
0.587	994441.0	0.097783
0.593	844476.0	0.083037
0.600	708250.0	0.069642
0.607	585274.0	0.057550
0.613	482280.0	0.047422
0.620	397890.0	0.039124
0.627	334008.0	0.032843
0.633	279149.0	0.027449
0.640	230484.0	0.022663
0.647	190765.0	0.018758
0.653	154920.0	0.015233
0.660	125633.0	0.012353
0.667	99326.0	0.009767
0.673	77070.0	0.007578
0.680	60068.0	0.005906
0.687	46162.0	0.004539
0.693	36734.0	0.003612
0.700	28707.0	0.002823
0.707	23143.0	0.002276
0.713	19545.0	0.001922
0.720	18353.0	0.001805
0.727	16625.0	0.001635
0.733	13090.0	0.001287
0.740	8957.0	0.000881
0.747	4847.0	0.000477
0.753	3372.0	0.000332
0.760	2384.0	0.000234
0.767	1709.0	0.000168
0.773	867.0	0.000085
0.780	587.0	0.000058
0.787	330.0	0.000032
0.793	178.0	0.000018
0.800	184.0	0.000018
0.807	139.0	0.000014
0.813	63.0	0.000006
0.820	41.0	0.000004
0.827	26.0	0.000003
0.833	24.0	0.000002
0.840	21.0	0.000002
0.847	12.0	0.000001
0.853	16.0	0.000002
0.860	5.0	0.000000
0.867	0.0	0.000000
0.873	0.0	0.000000
0.880	0.0	0.000000
0.887	0.0	0.000000
0.893	0.0	0.000000
0.900	0.0	0.000000
0.907	0.0	0.000000
0.913	0.0	0.000000
0.920	0.0	0.000000
0.927	0.0	0.000000
0.933	0.0	0.000000
0.940	0.0	0.000000
0.947	0.0	0.000000
0.953	0.0	0.000000
0.960	0.0	0.000000
0.967	0.0	0.000000
0.973	0.0	0.000000
0.980	0.0	0.000000
0.987	0.0	0.000000
0.993	0.0	0.000000
1.000	0.0	0.000000
