GC%	Total	Normalized Fraction(PDF)
0.000	0.0	0.000000
0.007	1.0	0.000129
0.013	0.0	0.000000
0.020	0.0	0.000000
0.027	1.0	0.000129
0.033	0.0	0.000000
0.040	0.0	0.000000
0.047	0.0	0.000000
0.053	0.0	0.000000
0.060	0.0	0.000000
0.067	5.0	0.000644
0.073	0.0	0.000000
0.080	3.0	0.000386
0.087	1.0	0.000129
0.093	7.0	0.000901
0.100	6.0	0.000772
0.107	6.0	0.000772
0.113	12.0	0.001545
0.120	19.0	0.002446
0.127	123.0	0.015832
0.133	51.0	0.006564
0.140	70.0	0.009010
0.147	109.0	0.014030
0.153	126.0	0.016218
0.160	304.0	0.039129
0.167	381.0	0.049040
0.173	456.0	0.058694
0.180	639.0	0.082248
0.187	1179.0	0.151754
0.193	1659.0	0.213537
0.200	1585.0	0.204012
0.207	1663.0	0.214052
0.213	2339.0	0.301062
0.220	3739.0	0.481262
0.227	4629.0	0.595818
0.233	4513.0	0.580887
0.240	10209.0	1.314043
0.247	10071.0	1.296280
0.253	10298.0	1.325498
0.260	22625.0	2.912158
0.267	12401.0	1.596184
0.273	17102.0	2.201269
0.280	14476.0	1.863266
0.287	13955.0	1.796206
0.293	14004.0	1.802513
0.300	17608.0	2.266399
0.307	20382.0	2.623452
0.313	22673.0	2.918336
0.320	30193.0	3.886266
0.327	39033.0	5.024100
0.333	23714.0	3.052327
0.340	24176.0	3.111793
0.347	29887.0	3.846880
0.353	26131.0	3.363430
0.360	21263.0	2.736849
0.367	24316.0	3.129813
0.373	18591.0	2.392925
0.380	20825.0	2.680472
0.387	90031.0	11.588264
0.393	27540.0	3.544788
0.400	17835.0	2.295617
0.407	36569.0	4.706948
0.413	16668.0	2.145408
0.420	314858.0	40.526681
0.427	19468.0	2.505807
0.433	12715.0	1.636600
0.440	10654.0	1.371321
0.447	8251.0	1.062020
0.453	11718.0	1.508272
0.460	22149.0	2.850890
0.467	19998.0	2.574026
0.473	8779.0	1.129982
0.480	12329.0	1.586917
0.487	5117.0	0.658630
0.493	5930.0	0.763275
0.500	10077.0	1.297053
0.507	4077.0	0.524768
0.513	5683.0	0.731483
0.520	4348.0	0.559649
0.527	4568.0	0.587966
0.533	2343.0	0.301577
0.540	3080.0	0.396440
0.547	2041.0	0.262706
0.553	2075.0	0.267082
0.560	3757.0	0.483579
0.567	2211.0	0.284587
0.573	2385.0	0.306983
0.580	2004.0	0.257943
0.587	1160.0	0.149308
0.593	2028.0	0.261032
0.600	926.0	0.119189
0.607	1576.0	0.202854
0.613	366.0	0.047109
0.620	301.0	0.038743
0.627	256.0	0.032951
0.633	202.0	0.026000
0.640	203.0	0.026129
0.647	178.0	0.022911
0.653	137.0	0.017634
0.660	223.0	0.028703
0.667	167.0	0.021495
0.673	44.0	0.005663
0.680	36.0	0.004634
0.687	17.0	0.002188
0.693	12.0	0.001545
0.700	26.0	0.003347
0.707	22.0	0.002832
0.713	8.0	0.001030
0.720	3.0	0.000386
0.727	1.0	0.000129
0.733	0.0	0.000000
0.740	1.0	0.000129
0.747	1.0	0.000129
0.753	2.0	0.000257
0.760	2.0	0.000257
0.767	1.0	0.000129
0.773	0.0	0.000000
0.780	0.0	0.000000
0.787	0.0	0.000000
0.793	0.0	0.000000
0.800	472.0	0.060753
0.807	155.0	0.019951
0.813	30.0	0.003861
0.820	0.0	0.000000
0.827	0.0	0.000000
0.833	0.0	0.000000
0.840	0.0	0.000000
0.847	0.0	0.000000
0.853	0.0	0.000000
0.860	0.0	0.000000
0.867	0.0	0.000000
0.873	0.0	0.000000
0.880	0.0	0.000000
0.887	0.0	0.000000
0.893	0.0	0.000000
0.900	0.0	0.000000
0.907	0.0	0.000000
0.913	0.0	0.000000
0.920	0.0	0.000000
0.927	0.0	0.000000
0.933	0.0	0.000000
0.940	0.0	0.000000
0.947	0.0	0.000000
0.953	0.0	0.000000
0.960	0.0	0.000000
0.967	0.0	0.000000
0.973	0.0	0.000000
0.980	0.0	0.000000
0.987	0.0	0.000000
0.993	0.0	0.000000
1.000	0.0	0.000000
