Tag Length (Average tag length = 26.065973)	Fraction of Tags
0	0.000000
1	0.000001
2	0.000000
3	0.000000
4	0.000000
5	0.000006
6	0.000011
7	0.000011
8	0.000029
9	0.000114
10	0.000159
11	0.000243
12	0.000285
13	0.000425
14	0.000328
15	0.000785
16	0.001788
17	0.002931
18	0.004606
19	0.008008
20	0.037314
21	0.055172
22	0.278174
23	0.074700
24	0.051723
25	0.052359
26	0.061334
27	0.047147
28	0.071211
29	0.059732
30	0.028832
31	0.018887
32	0.025163
33	0.019979
34	0.015219
35	0.011095
36	0.008434
37	0.008248
38	0.008010
39	0.007083
40	0.006267
41	0.005518
42	0.004661
43	0.004017
44	0.003754
45	0.002682
46	0.002531
47	0.001994
48	0.001659
49	0.001246
50	0.000957
51	0.000827
52	0.000548
53	0.000364
54	0.000447
55	0.001652
56	0.000155
57	0.000079
58	0.000065
59	0.000094
60	0.000158
61	0.000033
62	0.000103
63	0.000098
64	0.000046
65	0.000014
66	0.000005
67	0.000000
68	0.000000
69	0.000000
70	0.000001
71	0.000000
72	0.000001
73	0.000001
74	0.000000
75	0.000000
76	0.000000
77	0.000000
78	0.000001
79	0.000001
80	0.000205
81	0.000158
82	0.000052
83	0.000032
84	0.000025
