Tag Length (Average tag length = 21.127503)	Fraction of Tags
0	0.010032
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000097
6	0.000397
7	0.000997
8	0.002213
9	0.008536
10	0.005427
11	0.005459
12	0.007250
13	0.005281
14	0.005604
15	0.051749
16	0.116761
17	0.117237
18	0.104476
19	0.088325
20	0.075296
21	0.054643
22	0.042884
23	0.044421
24	0.028916
25	0.027468
26	0.019718
27	0.015938
28	0.015864
29	0.014988
30	0.012634
31	0.012049
32	0.012125
33	0.016571
34	0.017935
35	0.008957
36	0.008496
37	0.006516
38	0.005219
39	0.004718
40	0.004184
41	0.003672
42	0.003280
43	0.002709
44	0.002112
45	0.001887
46	0.001772
47	0.001095
48	0.000925
49	0.000690
50	0.000485
51	0.000346
52	0.000221
53	0.000136
54	0.000127
55	0.000077
56	0.000052
57	0.000022
58	0.000017
59	0.000022
60	0.000004
61	0.000016
62	0.000005
63	0.000012
64	0.000005
65	0.000003
66	0.000003
67	0.000001
68	0.000000
69	0.000004
70	0.000005
71	0.000001
72	0.000001
73	0.000001
74	0.000001
75	0.000001
76	0.000001
77	0.000005
78	0.000001
79	0.000003
80	0.000246
81	0.000204
82	0.000255
83	0.000093
84	0.000098
