GC%	Total	Normalized Fraction(PDF)
0.000	0.0	0.000000
0.007	2.0	0.000394
0.013	0.0	0.000000
0.020	8.0	0.001575
0.027	7.0	0.001378
0.033	4.0	0.000787
0.040	24.0	0.004725
0.047	1.0	0.000197
0.053	0.0	0.000000
0.060	0.0	0.000000
0.067	0.0	0.000000
0.073	0.0	0.000000
0.080	0.0	0.000000
0.087	3.0	0.000591
0.093	3.0	0.000591
0.100	3.0	0.000591
0.107	2.0	0.000394
0.113	3.0	0.000591
0.120	3.0	0.000591
0.127	8.0	0.001575
0.133	28.0	0.005512
0.140	13.0	0.002559
0.147	24.0	0.004725
0.153	35.0	0.006890
0.160	243.0	0.047836
0.167	280.0	0.055119
0.173	391.0	0.076970
0.180	698.0	0.137405
0.187	1284.0	0.252762
0.193	443.0	0.087207
0.200	1113.0	0.219099
0.207	2654.0	0.522453
0.213	3102.0	0.610644
0.220	2105.0	0.414379
0.227	3618.0	0.712221
0.233	3335.0	0.656511
0.240	7086.0	1.394913
0.247	10230.0	2.013824
0.253	3822.0	0.752379
0.260	7535.0	1.483301
0.267	9118.0	1.794922
0.273	9575.0	1.884885
0.280	11612.0	2.285878
0.287	12054.0	2.372888
0.293	30487.0	6.001512
0.300	18095.0	3.562087
0.307	20730.0	4.080800
0.313	20570.0	4.049303
0.320	16651.0	3.277829
0.327	16066.0	3.162669
0.333	15869.0	3.123889
0.340	21473.0	4.227063
0.347	15954.0	3.140621
0.353	18075.0	3.558150
0.360	15035.0	2.959712
0.367	16262.0	3.201253
0.373	21167.0	4.166825
0.380	13492.0	2.655965
0.387	17330.0	3.411493
0.393	27339.0	5.381813
0.400	18687.0	3.678625
0.407	14616.0	2.877230
0.413	24678.0	4.857982
0.420	19618.0	3.861897
0.427	28389.0	5.588511
0.433	17064.0	3.359130
0.440	10861.0	2.138040
0.447	9198.0	1.810670
0.453	14649.0	2.883726
0.460	12919.0	2.543167
0.467	11228.0	2.210286
0.473	10007.0	1.969926
0.480	10867.0	2.139221
0.487	12295.0	2.420330
0.493	10803.0	2.126622
0.500	14665.0	2.886875
0.507	8868.0	1.745708
0.513	12572.0	2.474858
0.520	19711.0	3.880205
0.527	7507.0	1.477789
0.533	9013.0	1.774252
0.540	6449.0	1.269517
0.547	6403.0	1.260461
0.553	11317.0	2.227806
0.560	9893.0	1.947484
0.567	4060.0	0.799230
0.573	5546.0	1.091757
0.580	8809.0	1.734094
0.587	2364.0	0.465365
0.593	1587.0	0.312409
0.600	920.0	0.181106
0.607	1056.0	0.207879
0.613	5185.0	1.020692
0.620	1331.0	0.262014
0.627	641.0	0.126184
0.633	344.0	0.067718
0.640	274.0	0.053938
0.647	263.0	0.051773
0.653	422.0	0.083073
0.660	172.0	0.033859
0.667	303.0	0.059647
0.673	193.0	0.037993
0.680	148.0	0.029135
0.687	80.0	0.015748
0.693	36.0	0.007087
0.700	50.0	0.009843
0.707	50.0	0.009843
0.713	43.0	0.008465
0.720	16.0	0.003150
0.727	10.0	0.001969
0.733	9.0	0.001772
0.740	0.0	0.000000
0.747	1.0	0.000197
0.753	2.0	0.000394
0.760	1.0	0.000197
0.767	2.0	0.000394
0.773	13.0	0.002559
0.780	3.0	0.000591
0.787	9.0	0.001772
0.793	0.0	0.000000
0.800	380.0	0.074805
0.807	248.0	0.048820
0.813	62.0	0.012205
0.820	9.0	0.001772
0.827	0.0	0.000000
0.833	0.0	0.000000
0.840	0.0	0.000000
0.847	0.0	0.000000
0.853	0.0	0.000000
0.860	0.0	0.000000
0.867	0.0	0.000000
0.873	0.0	0.000000
0.880	0.0	0.000000
0.887	0.0	0.000000
0.893	0.0	0.000000
0.900	0.0	0.000000
0.907	0.0	0.000000
0.913	0.0	0.000000
0.920	0.0	0.000000
0.927	0.0	0.000000
0.933	0.0	0.000000
0.940	0.0	0.000000
0.947	0.0	0.000000
0.953	0.0	0.000000
0.960	0.0	0.000000
0.967	0.0	0.000000
0.973	0.0	0.000000
0.980	0.0	0.000000
0.987	0.0	0.000000
0.993	0.0	0.000000
1.000	0.0	0.000000
