GC%	Total	Normalized Fraction(PDF)
0.000	6211.0	0.000603
0.007	7154.0	0.000694
0.013	3725.0	0.000361
0.020	4634.0	0.000450
0.027	6561.0	0.000636
0.033	7833.0	0.000760
0.040	9975.0	0.000968
0.047	12425.0	0.001205
0.053	16066.0	0.001559
0.060	20922.0	0.002030
0.067	27273.0	0.002646
0.073	36670.0	0.003557
0.080	48322.0	0.004688
0.087	64538.0	0.006261
0.093	85758.0	0.008319
0.100	113109.0	0.010972
0.107	149668.0	0.014519
0.113	205168.0	0.019903
0.120	288209.0	0.027958
0.127	412791.0	0.040044
0.133	592552.0	0.057482
0.140	852796.0	0.082727
0.147	1224329.0	0.118768
0.153	1750714.0	0.169831
0.160	2476207.0	0.240209
0.167	3479437.0	0.337529
0.173	4789877.0	0.464651
0.180	6446466.0	0.625351
0.187	8493949.0	0.823971
0.193	10947847.0	1.062016
0.200	13840188.0	1.342593
0.207	17149803.0	1.663648
0.213	20811848.0	2.018892
0.220	24732570.0	2.399228
0.227	28818561.0	2.795597
0.233	32956581.0	3.197014
0.240	36980080.0	3.587321
0.247	40770323.0	3.955000
0.253	44264287.0	4.293938
0.260	47383045.0	4.596479
0.267	49990506.0	4.849421
0.273	52052807.0	5.049478
0.280	53529801.0	5.192757
0.287	54432866.0	5.280360
0.293	54867721.0	5.322544
0.300	54758476.0	5.311946
0.307	54239272.0	5.261580
0.313	53367015.0	5.176965
0.320	52199615.0	5.063719
0.327	50746735.0	4.922780
0.333	49103606.0	4.763385
0.340	47239460.0	4.582551
0.347	45232431.0	4.387855
0.353	43110190.0	4.181983
0.360	40788466.0	3.956760
0.367	38474158.0	3.732256
0.373	36159997.0	3.507767
0.380	33792969.0	3.278149
0.387	31490354.0	3.054780
0.393	29161257.0	2.828841
0.400	26859299.0	2.605536
0.407	24650961.0	2.391312
0.413	22528488.0	2.185417
0.420	20547235.0	1.993222
0.427	18715178.0	1.815500
0.433	17038649.0	1.652865
0.440	15441750.0	1.497955
0.447	13941169.0	1.352389
0.453	12561758.0	1.218576
0.460	11345194.0	1.100561
0.467	10219639.0	0.991375
0.473	9197069.0	0.892179
0.480	8244958.0	0.799817
0.487	7392290.0	0.717103
0.493	6652794.0	0.645366
0.500	5943110.0	0.576522
0.507	5256470.0	0.509914
0.513	4663543.0	0.452396
0.520	4137820.0	0.401397
0.527	3636540.0	0.352769
0.533	3202581.0	0.310672
0.540	2818602.0	0.273424
0.547	2459621.0	0.238600
0.553	2137508.0	0.207353
0.560	1853354.0	0.179788
0.567	1587618.0	0.154010
0.573	1359743.0	0.131904
0.580	1158280.0	0.112361
0.587	983881.0	0.095443
0.593	834598.0	0.080962
0.600	698061.0	0.067717
0.607	576897.0	0.055963
0.613	476078.0	0.046183
0.620	392510.0	0.038076
0.627	329263.0	0.031941
0.633	274868.0	0.026664
0.640	226453.0	0.021967
0.647	187098.0	0.018150
0.653	151355.0	0.014682
0.660	122532.0	0.011886
0.667	97130.0	0.009422
0.673	75495.0	0.007324
0.680	58678.0	0.005692
0.687	45101.0	0.004375
0.693	35753.0	0.003468
0.700	28114.0	0.002727
0.707	22578.0	0.002190
0.713	19027.0	0.001846
0.720	18138.0	0.001760
0.727	16398.0	0.001591
0.733	12915.0	0.001253
0.740	8428.0	0.000818
0.747	4627.0	0.000449
0.753	3252.0	0.000315
0.760	2294.0	0.000223
0.767	1630.0	0.000158
0.773	888.0	0.000086
0.780	594.0	0.000058
0.787	267.0	0.000026
0.793	142.0	0.000014
0.800	102.0	0.000010
0.807	60.0	0.000006
0.813	45.0	0.000004
0.820	41.0	0.000004
0.827	26.0	0.000003
0.833	24.0	0.000002
0.840	21.0	0.000002
0.847	12.0	0.000001
0.853	16.0	0.000002
0.860	5.0	0.000000
0.867	0.0	0.000000
0.873	0.0	0.000000
0.880	0.0	0.000000
0.887	0.0	0.000000
0.893	0.0	0.000000
0.900	0.0	0.000000
0.907	0.0	0.000000
0.913	0.0	0.000000
0.920	0.0	0.000000
0.927	0.0	0.000000
0.933	0.0	0.000000
0.940	0.0	0.000000
0.947	0.0	0.000000
0.953	0.0	0.000000
0.960	0.0	0.000000
0.967	0.0	0.000000
0.973	0.0	0.000000
0.980	0.0	0.000000
0.987	0.0	0.000000
0.993	0.0	0.000000
1.000	0.0	0.000000
