GC%	Total	Normalized Fraction(PDF)
0.000	0.0	0.000000
0.007	1.0	0.000367
0.013	1.0	0.000367
0.020	10.0	0.003673
0.027	0.0	0.000000
0.033	1.0	0.000367
0.040	14.0	0.005142
0.047	0.0	0.000000
0.053	0.0	0.000000
0.060	0.0	0.000000
0.067	0.0	0.000000
0.073	0.0	0.000000
0.080	0.0	0.000000
0.087	0.0	0.000000
0.093	1.0	0.000367
0.100	4.0	0.001469
0.107	1.0	0.000367
0.113	1.0	0.000367
0.120	1.0	0.000367
0.127	2.0	0.000735
0.133	7.0	0.002571
0.140	5.0	0.001836
0.147	10.0	0.003673
0.153	28.0	0.010283
0.160	24.0	0.008814
0.167	74.0	0.027177
0.173	50.0	0.018363
0.180	103.0	0.037827
0.187	411.0	0.150941
0.193	148.0	0.054353
0.200	256.0	0.094016
0.207	852.0	0.312899
0.213	516.0	0.189502
0.220	585.0	0.214842
0.227	1430.0	0.525170
0.233	1469.0	0.539493
0.240	2438.0	0.895360
0.247	1759.0	0.645996
0.253	2730.0	1.002598
0.260	4183.0	1.536215
0.267	4151.0	1.524463
0.273	4546.0	1.669527
0.280	5426.0	1.992709
0.287	5189.0	1.905670
0.293	6839.0	2.511636
0.300	8537.0	3.135229
0.307	7376.0	2.708850
0.313	9372.0	3.441885
0.320	11175.0	4.104040
0.327	9033.0	3.317386
0.333	14157.0	5.199185
0.340	11062.0	4.062541
0.347	13651.0	5.013356
0.353	10222.0	3.754049
0.360	9754.0	3.582175
0.367	8304.0	3.049660
0.373	10628.0	3.903153
0.380	7933.0	2.913409
0.387	7596.0	2.789645
0.393	8808.0	3.234755
0.400	10429.0	3.830070
0.407	8176.0	3.002652
0.413	17405.0	6.392019
0.420	11120.0	4.083841
0.427	10910.0	4.006718
0.433	10099.0	3.708877
0.440	7306.0	2.683142
0.447	5881.0	2.159808
0.453	8508.0	3.124579
0.460	7589.0	2.787075
0.467	25540.0	9.379614
0.473	5388.0	1.978753
0.480	5810.0	2.133734
0.487	8530.0	3.132659
0.493	5736.0	2.106557
0.500	8091.0	2.971435
0.507	5695.0	2.091500
0.513	6210.0	2.280634
0.520	6195.0	2.275126
0.527	4827.0	1.772725
0.533	3858.0	1.416858
0.540	5940.0	2.181476
0.547	4444.0	1.632067
0.553	3353.0	1.231396
0.560	2734.0	1.004067
0.567	3050.0	1.120118
0.573	2183.0	0.801711
0.580	2785.0	1.022797
0.587	1208.0	0.443640
0.593	1235.0	0.453556
0.600	714.0	0.262218
0.607	1148.0	0.421605
0.613	881.0	0.323549
0.620	768.0	0.282049
0.627	1070.0	0.392960
0.633	606.0	0.222555
0.640	352.0	0.129273
0.647	365.0	0.134047
0.653	272.0	0.099893
0.660	124.0	0.045539
0.667	165.0	0.060597
0.673	117.0	0.042968
0.680	187.0	0.068676
0.687	79.0	0.029013
0.693	31.0	0.011385
0.700	71.0	0.026075
0.707	49.0	0.017995
0.713	16.0	0.005876
0.720	42.0	0.015425
0.727	6.0	0.002204
0.733	6.0	0.002204
0.740	2.0	0.000735
0.747	2.0	0.000735
0.753	1.0	0.000367
0.760	0.0	0.000000
0.767	1.0	0.000367
0.773	4.0	0.001469
0.780	0.0	0.000000
0.787	0.0	0.000000
0.793	0.0	0.000000
0.800	126.0	0.046274
0.807	96.0	0.035256
0.813	27.0	0.009916
0.820	2.0	0.000735
0.827	0.0	0.000000
0.833	0.0	0.000000
0.840	0.0	0.000000
0.847	0.0	0.000000
0.853	0.0	0.000000
0.860	0.0	0.000000
0.867	0.0	0.000000
0.873	0.0	0.000000
0.880	0.0	0.000000
0.887	0.0	0.000000
0.893	0.0	0.000000
0.900	0.0	0.000000
0.907	0.0	0.000000
0.913	0.0	0.000000
0.920	0.0	0.000000
0.927	0.0	0.000000
0.933	0.0	0.000000
0.940	0.0	0.000000
0.947	0.0	0.000000
0.953	0.0	0.000000
0.960	0.0	0.000000
0.967	0.0	0.000000
0.973	0.0	0.000000
0.980	0.0	0.000000
0.987	0.0	0.000000
0.993	0.0	0.000000
1.000	0.0	0.000000
