GC%	Total	Normalized Fraction(PDF)
0.000	6579.0	0.000710
0.007	7114.0	0.000768
0.013	3316.0	0.000358
0.020	3788.0	0.000409
0.027	5380.0	0.000581
0.033	6855.0	0.000740
0.040	8629.0	0.000932
0.047	10928.0	0.001180
0.053	14075.0	0.001520
0.060	18172.0	0.001962
0.067	24031.0	0.002595
0.073	32612.0	0.003522
0.080	43021.0	0.004646
0.087	57347.0	0.006193
0.093	75911.0	0.008197
0.100	99675.0	0.010763
0.107	132039.0	0.014258
0.113	181455.0	0.019594
0.120	255969.0	0.027641
0.127	365180.0	0.039434
0.133	524960.0	0.056687
0.140	754908.0	0.081518
0.147	1083283.0	0.116978
0.153	1547219.0	0.167075
0.160	2194049.0	0.236923
0.167	3077128.0	0.332282
0.173	4235004.0	0.457314
0.180	5694226.0	0.614888
0.187	7500655.0	0.809954
0.193	9668614.0	1.044059
0.200	12233977.0	1.321079
0.207	15155948.0	1.636606
0.213	18397881.0	1.986684
0.220	21876850.0	2.362358
0.227	25507501.0	2.754412
0.233	29172236.0	3.150146
0.240	32765553.0	3.538168
0.247	36152231.0	3.903877
0.253	39278260.0	4.241439
0.260	42078526.0	4.543824
0.267	44462002.0	4.801202
0.273	46346014.0	5.004646
0.280	47724743.0	5.153527
0.287	48595780.0	5.247586
0.293	49043308.0	5.295912
0.300	48996051.0	5.290809
0.307	48603854.0	5.248457
0.313	47901038.0	5.172564
0.320	46916486.0	5.066248
0.327	45669810.0	4.931626
0.333	44242685.0	4.777519
0.340	42599637.0	4.600096
0.347	40831779.0	4.409195
0.353	38965758.0	4.207694
0.360	36912850.0	3.986011
0.367	34855943.0	3.763898
0.373	32790619.0	3.540875
0.380	30662409.0	3.311061
0.387	28585770.0	3.086817
0.393	26483482.0	2.859803
0.400	24402126.0	2.635049
0.407	22416224.0	2.420602
0.413	20500734.0	2.213759
0.420	18698217.0	2.019116
0.427	17030628.0	1.839042
0.433	15513279.0	1.675192
0.440	14073126.0	1.519678
0.447	12722387.0	1.373819
0.453	11477876.0	1.239431
0.460	10374127.0	1.120244
0.467	9351593.0	1.009826
0.473	8420104.0	0.909240
0.480	7555679.0	0.815895
0.487	6778681.0	0.731992
0.493	6100801.0	0.658791
0.500	5451722.0	0.588701
0.507	4828725.0	0.521427
0.513	4292196.0	0.463490
0.520	3806178.0	0.411008
0.527	3345164.0	0.361225
0.533	2947461.0	0.318280
0.540	2593121.0	0.280017
0.547	2263145.0	0.244384
0.553	1968710.0	0.212590
0.560	1706727.0	0.184300
0.567	1460624.0	0.157725
0.573	1251240.0	0.135114
0.580	1066150.0	0.115128
0.587	905686.0	0.097800
0.593	767352.0	0.082862
0.600	640922.0	0.069210
0.607	529836.0	0.057214
0.613	438063.0	0.047304
0.620	361336.0	0.039019
0.627	303105.0	0.032731
0.633	253454.0	0.027369
0.640	208255.0	0.022488
0.647	171832.0	0.018555
0.653	139153.0	0.015026
0.660	113158.0	0.012219
0.667	89669.0	0.009683
0.673	69626.0	0.007519
0.680	54223.0	0.005855
0.687	41842.0	0.004518
0.693	33258.0	0.003591
0.700	26240.0	0.002834
0.707	21024.0	0.002270
0.713	17808.0	0.001923
0.720	16998.0	0.001836
0.727	15416.0	0.001665
0.733	12385.0	0.001337
0.740	8090.0	0.000874
0.747	4268.0	0.000461
0.753	2982.0	0.000322
0.760	2154.0	0.000233
0.767	1514.0	0.000163
0.773	831.0	0.000090
0.780	528.0	0.000057
0.787	281.0	0.000030
0.793	154.0	0.000017
0.800	161.0	0.000017
0.807	122.0	0.000013
0.813	46.0	0.000005
0.820	19.0	0.000002
0.827	15.0	0.000002
0.833	14.0	0.000002
0.840	6.0	0.000001
0.847	6.0	0.000001
0.853	12.0	0.000001
0.860	5.0	0.000001
0.867	0.0	0.000000
0.873	0.0	0.000000
0.880	0.0	0.000000
0.887	0.0	0.000000
0.893	0.0	0.000000
0.900	0.0	0.000000
0.907	0.0	0.000000
0.913	0.0	0.000000
0.920	0.0	0.000000
0.927	0.0	0.000000
0.933	0.0	0.000000
0.940	0.0	0.000000
0.947	0.0	0.000000
0.953	0.0	0.000000
0.960	0.0	0.000000
0.967	0.0	0.000000
0.973	0.0	0.000000
0.980	0.0	0.000000
0.987	0.0	0.000000
0.993	0.0	0.000000
1.000	0.0	0.000000
