Tag Length (Average tag length = 27.678109)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000068
6	0.000095
7	0.000400
8	0.000695
9	0.004771
10	0.002564
11	0.002346
12	0.003244
13	0.003125
14	0.003127
15	0.023116
16	0.072298
17	0.046699
18	0.044829
19	0.032131
20	0.044690
21	0.036487
22	0.035060
23	0.033723
24	0.035865
25	0.034033
26	0.030874
27	0.031857
28	0.030399
29	0.030043
30	0.030455
31	0.031550
32	0.031367
33	0.032845
34	0.038204
35	0.034018
36	0.025491
37	0.023408
38	0.020535
39	0.020498
40	0.024121
41	0.019674
42	0.016779
43	0.024845
44	0.011013
45	0.009315
46	0.007064
47	0.004793
48	0.003483
49	0.002198
50	0.001603
51	0.000927
52	0.000598
53	0.000388
54	0.000344
55	0.000244
56	0.000193
57	0.000100
58	0.000080
59	0.000051
60	0.000056
61	0.000051
62	0.000193
63	0.000334
64	0.000022
65	0.000002
66	0.000005
67	0.000002
68	0.000002
69	0.000000
70	0.000000
71	0.000000
72	0.000000
73	0.000002
74	0.000000
75	0.000000
76	0.000000
77	0.000002
78	0.000000
79	0.000000
80	0.000144
81	0.000137
82	0.000146
83	0.000098
84	0.000080
