name	Unique Positions	Total Tags
genome=/bigdata/stajichlab/shared/projects/SharpShooter/H_vitripennis_genome/annotation/genomes/Homalodisca_vitripennis.A6A7A9_masurca_v1.masked_RModeler.fasta	140926	409983.0
fragmentLengthEstimate=150		
peakSizeEstimate=75		
tagsPerBP=0.000000		
averageTagsPerPosition=2.909		
averageTagLength=27.678		
gsizeEstimate=1056568674		
averageFragmentGCcontent=0.406		
singleTagFile=true		
scaffold_1	132	1395.0
scaffold_10	233	451.0
scaffold_100	37	60.0
scaffold_1000	6	7.0
scaffold_10000	2	2.0
scaffold_10002	4	7.0
scaffold_10003	3	3.0
scaffold_10004	4	7.0
scaffold_10005	1	1.0
scaffold_10007	1	1.0
scaffold_1001	15	21.0
scaffold_10010	1	1.0
scaffold_10011	1	1.0
scaffold_10012	5	6.0
scaffold_10015	2	4.0
scaffold_10016	1	1.0
scaffold_10017	4	6.0
scaffold_10018	1	1.0
scaffold_1002	25	35.0
scaffold_10020	1	1.0
scaffold_10022	2	2.0
scaffold_10024	7	10.0
scaffold_10025	4	6.0
scaffold_10029	6	9.0
scaffold_1003	16	30.0
scaffold_10032	1	2.0
scaffold_10035	4	5.0
scaffold_10037	1	1.0
scaffold_1004	10	13.0
scaffold_10040	2	11.0
scaffold_10041	7	9.0
scaffold_10042	6	11.0
scaffold_10043	45	77.0
scaffold_10047	3	7.0
scaffold_1005	12	20.0
scaffold_10053	2	2.0
scaffold_10056	7	9.0
scaffold_10057	3	5.0
scaffold_10059	1	1.0
scaffold_1006	117	260.0
scaffold_10061	3	3.0
scaffold_10063	1	2.0
scaffold_10065	10	15.0
scaffold_10066	1	1.0
scaffold_10069	2	4.0
scaffold_1007	5	5.0
scaffold_10071	2	2.0
scaffold_10073	7	12.0
scaffold_10074	3	8.0
scaffold_10075	1	2.0
scaffold_10077	1	1.0
scaffold_10078	1	1.0
scaffold_10079	8	9.0
scaffold_1008	32	52.0
scaffold_10080	1	1.0
scaffold_10083	1	1.0
scaffold_10085	3	9.0
scaffold_10087	3	7.0
scaffold_10088	2	2.0
scaffold_1009	97	301.0
scaffold_10090	1	1.0
scaffold_10093	5	40.0
scaffold_10094	1	1.0
scaffold_10095	2	3.0
scaffold_10096	1	2.0
scaffold_10098	1	1.0
scaffold_101	31	50.0
scaffold_1010	8	13.0
scaffold_10100	42	80.0
scaffold_10102	1	1.0
scaffold_10106	1	2.0
scaffold_10109	1	1.0
scaffold_1011	11	66.0
scaffold_10112	1	1.0
scaffold_10113	1	1.0
scaffold_10115	1	1.0
scaffold_10116	1	2.0
scaffold_10117	1	1.0
scaffold_10118	5	8.0
scaffold_10119	1	1.0
scaffold_1012	5	7.0
scaffold_10120	1	1.0
scaffold_10121	1	1.0
scaffold_10123	1	1.0
scaffold_10126	5	48.0
scaffold_1013	40	76.0
scaffold_10130	1	1.0
scaffold_10131	1	2.0
scaffold_10133	1	1.0
scaffold_10134	2	2.0
scaffold_10136	45	204.0
scaffold_10137	6	9.0
scaffold_1014	21	69.0
scaffold_10140	1	1.0
scaffold_10142	1	1.0
scaffold_10143	1	1.0
scaffold_10146	1	1.0
scaffold_10147	1	1.0
scaffold_10149	1	1.0
scaffold_1015	16	39.0
scaffold_10150	2	2.0
scaffold_10151	2	3.0
scaffold_10153	18	47.0
scaffold_10154	1	1.0
scaffold_10158	3	3.0
