GC%	Total	Normalized Fraction(PDF)
0.000	7210.0	0.000684
0.007	7710.0	0.000731
0.013	3888.0	0.000369
0.020	4639.0	0.000440
0.027	6581.0	0.000624
0.033	7929.0	0.000752
0.040	9956.0	0.000944
0.047	12366.0	0.001173
0.053	16193.0	0.001535
0.060	20733.0	0.001966
0.067	27320.0	0.002590
0.073	37290.0	0.003536
0.080	49440.0	0.004688
0.087	66037.0	0.006262
0.093	88113.0	0.008355
0.100	116417.0	0.011039
0.107	154955.0	0.014693
0.113	212741.0	0.020172
0.120	301741.0	0.028611
0.127	430965.0	0.040864
0.133	614693.0	0.058285
0.140	881072.0	0.083543
0.147	1260163.0	0.119488
0.153	1800250.0	0.170698
0.160	2545606.0	0.241372
0.167	3575218.0	0.338999
0.173	4918530.0	0.466371
0.180	6613700.0	0.627106
0.187	8710772.0	0.825949
0.193	11217500.0	1.063635
0.200	14176629.0	1.344217
0.207	17564171.0	1.665421
0.213	21300855.0	2.019731
0.220	25303655.0	2.399273
0.227	29473202.0	2.794626
0.233	33695393.0	3.194971
0.240	37814954.0	3.585585
0.247	41687155.0	3.952744
0.253	45258088.0	4.291337
0.260	48438489.0	4.592900
0.267	51112418.0	4.846440
0.273	53213214.0	5.045636
0.280	54710578.0	5.187615
0.287	55621518.0	5.273989
0.293	56064606.0	5.316003
0.300	55943696.0	5.304538
0.307	55411562.0	5.254082
0.313	54526612.0	5.170171
0.320	53349567.0	5.058565
0.327	51863934.0	4.917698
0.333	50185754.0	4.758574
0.340	48279550.0	4.577830
0.347	46238044.0	4.384256
0.353	44091737.0	4.180744
0.360	41741699.0	3.957916
0.367	39393520.0	3.735263
0.373	37041682.0	3.512264
0.380	34644851.0	3.284998
0.387	32301042.0	3.062760
0.393	29919939.0	2.836986
0.400	27565829.0	2.613771
0.407	25300670.0	2.398990
0.413	23118336.0	2.192063
0.420	21082062.0	1.998985
0.427	19190579.0	1.819636
0.433	17461122.0	1.655650
0.440	15828266.0	1.500824
0.447	14285070.0	1.354499
0.453	12865810.0	1.219926
0.460	11613306.0	1.101165
0.467	10452917.0	0.991138
0.473	9395289.0	0.890854
0.480	8417875.0	0.798176
0.487	7555949.0	0.716449
0.493	6802730.0	0.645030
0.500	6081002.0	0.576596
0.507	5382290.0	0.510345
0.513	4774449.0	0.452710
0.520	4232873.0	0.401358
0.527	3717834.0	0.352522
0.533	3275088.0	0.310541
0.540	2882120.0	0.273280
0.547	2515876.0	0.238553
0.553	2185372.0	0.207215
0.560	1894551.0	0.179640
0.567	1622123.0	0.153808
0.573	1386561.0	0.131473
0.580	1180422.0	0.111927
0.587	1002199.0	0.095028
0.593	851104.0	0.080701
0.600	712298.0	0.067540
0.607	587369.0	0.055694
0.613	483125.0	0.045810
0.620	398648.0	0.037799
0.627	334358.0	0.031704
0.633	278467.0	0.026404
0.640	229440.0	0.021755
0.647	190374.0	0.018051
0.653	154610.0	0.014660
0.660	125003.0	0.011853
0.667	98479.0	0.009338
0.673	76401.0	0.007244
0.680	59521.0	0.005644
0.687	45721.0	0.004335
0.693	36039.0	0.003417
0.700	28235.0	0.002677
0.707	22806.0	0.002162
0.713	19141.0	0.001815
0.720	18101.0	0.001716
0.727	16087.0	0.001525
0.733	12765.0	0.001210
0.740	8670.0	0.000822
0.747	4717.0	0.000447
0.753	3277.0	0.000311
0.760	2279.0	0.000216
0.767	1643.0	0.000156
0.773	917.0	0.000087
0.780	580.0	0.000055
0.787	321.0	0.000030
0.793	178.0	0.000017
0.800	184.0	0.000017
0.807	139.0	0.000013
0.813	63.0	0.000006
0.820	41.0	0.000004
0.827	26.0	0.000002
0.833	24.0	0.000002
0.840	21.0	0.000002
0.847	12.0	0.000001
0.853	16.0	0.000002
0.860	5.0	0.000000
0.867	0.0	0.000000
0.873	0.0	0.000000
0.880	0.0	0.000000
0.887	0.0	0.000000
0.893	0.0	0.000000
0.900	0.0	0.000000
0.907	0.0	0.000000
0.913	0.0	0.000000
0.920	0.0	0.000000
0.927	0.0	0.000000
0.933	0.0	0.000000
0.940	0.0	0.000000
0.947	0.0	0.000000
0.953	0.0	0.000000
0.960	0.0	0.000000
0.967	0.0	0.000000
0.973	0.0	0.000000
0.980	0.0	0.000000
0.987	0.0	0.000000
0.993	0.0	0.000000
1.000	0.0	0.000000
