GC%	Total	Normalized Fraction(PDF)
0.000	1.0	0.000066
0.007	2.0	0.000132
0.013	0.0	0.000000
0.020	0.0	0.000000
0.027	0.0	0.000000
0.033	0.0	0.000000
0.040	0.0	0.000000
0.047	0.0	0.000000
0.053	2.0	0.000132
0.060	0.0	0.000000
0.067	9.0	0.000593
0.073	1.0	0.000066
0.080	2.0	0.000132
0.087	0.0	0.000000
0.093	0.0	0.000000
0.100	4.0	0.000263
0.107	4.0	0.000263
0.113	15.0	0.000988
0.120	6.0	0.000395
0.127	78.0	0.005137
0.133	36.0	0.002371
0.140	35.0	0.002305
0.147	86.0	0.005664
0.153	122.0	0.008035
0.160	182.0	0.011987
0.167	278.0	0.018309
0.173	415.0	0.027333
0.180	573.0	0.037739
0.187	968.0	0.063754
0.193	1278.0	0.084171
0.200	1378.0	0.090757
0.207	1988.0	0.130933
0.213	2204.0	0.145159
0.220	3829.0	0.252184
0.227	4035.0	0.265751
0.233	4838.0	0.318638
0.240	8229.0	0.541974
0.247	8784.0	0.578527
0.253	10911.0	0.718615
0.260	22208.0	1.462652
0.267	14225.0	0.936880
0.273	19296.0	1.270863
0.280	22713.0	1.495912
0.287	12428.0	0.818527
0.293	13902.0	0.915606
0.300	19070.0	1.255979
0.307	18413.0	1.212708
0.313	39107.0	2.575645
0.320	29899.0	1.969193
0.327	49317.0	3.248091
0.333	20137.0	1.326253
0.340	22402.0	1.475429
0.347	27229.0	1.793342
0.353	23022.0	1.516263
0.360	19903.0	1.310841
0.367	25510.0	1.680127
0.373	19607.0	1.291346
0.380	22998.0	1.514683
0.387	484722.0	31.924512
0.393	39931.0	2.629915
0.400	16448.0	1.083290
0.407	40002.0	2.634591
0.413	31931.0	2.103023
0.420	868245.0	57.183908
0.427	23714.0	1.561839
0.433	16808.0	1.107000
0.440	12298.0	0.809965
0.447	12391.0	0.816090
0.453	24978.0	1.645088
0.460	19744.0	1.300369
0.467	57104.0	3.760954
0.473	17651.0	1.162521
0.480	24232.0	1.595956
0.487	7601.0	0.500613
0.493	7457.0	0.491129
0.500	28957.0	1.907151
0.507	4690.0	0.308890
0.513	7220.0	0.475520
0.520	3523.0	0.232030
0.527	3416.0	0.224983
0.533	3115.0	0.205159
0.540	3990.0	0.262787
0.547	2141.0	0.141009
0.553	2954.0	0.194555
0.560	2090.0	0.137651
0.567	2262.0	0.148979
0.573	3655.0	0.240724
0.580	2181.0	0.143644
0.587	1594.0	0.104983
0.593	3929.0	0.258770
0.600	645.0	0.042481
0.607	1151.0	0.075807
0.613	382.0	0.025159
0.620	450.0	0.029638
0.627	426.0	0.028057
0.633	248.0	0.016334
0.640	135.0	0.008891
0.647	137.0	0.009023
0.653	157.0	0.010340
0.660	154.0	0.010143
0.667	97.0	0.006389
0.673	56.0	0.003688
0.680	35.0	0.002305
0.687	27.0	0.001778
0.693	15.0	0.000988
0.700	32.0	0.002108
0.707	36.0	0.002371
0.713	29.0	0.001910
0.720	19.0	0.001251
0.727	8.0	0.000527
0.733	7.0	0.000461
0.740	2.0	0.000132
0.747	4.0	0.000263
0.753	0.0	0.000000
0.760	2.0	0.000132
0.767	0.0	0.000000
0.773	0.0	0.000000
0.780	0.0	0.000000
0.787	0.0	0.000000
0.793	1.0	0.000066
0.800	292.0	0.019232
0.807	270.0	0.017783
0.813	37.0	0.002437
0.820	0.0	0.000000
0.827	0.0	0.000000
0.833	0.0	0.000000
0.840	0.0	0.000000
0.847	0.0	0.000000
0.853	0.0	0.000000
0.860	0.0	0.000000
0.867	0.0	0.000000
0.873	0.0	0.000000
0.880	0.0	0.000000
0.887	0.0	0.000000
0.893	0.0	0.000000
0.900	0.0	0.000000
0.907	0.0	0.000000
0.913	0.0	0.000000
0.920	0.0	0.000000
0.927	0.0	0.000000
0.933	0.0	0.000000
0.940	0.0	0.000000
0.947	0.0	0.000000
0.953	0.0	0.000000
0.960	0.0	0.000000
0.967	0.0	0.000000
0.973	0.0	0.000000
0.980	0.0	0.000000
0.987	0.0	0.000000
0.993	0.0	0.000000
1.000	0.0	0.000000
