Tag Length (Average tag length = 23.861787)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000003
6	0.000021
7	0.000016
8	0.000038
9	0.000258
10	0.000154
11	0.000189
12	0.000207
13	0.000243
14	0.000311
15	0.001459
16	0.006330
17	0.004890
18	0.005308
19	0.008190
20	0.062676
21	0.090529
22	0.505976
23	0.046836
24	0.020090
25	0.025275
26	0.028846
27	0.022927
28	0.033210
29	0.037568
30	0.016004
31	0.008959
32	0.012027
33	0.009776
34	0.007920
35	0.005030
36	0.004582
37	0.004748
38	0.004467
39	0.003435
40	0.003192
41	0.002991
42	0.002749
43	0.002392
44	0.001977
45	0.001628
46	0.001202
47	0.000947
48	0.000729
49	0.000520
50	0.000319
51	0.000244
52	0.000184
53	0.000123
54	0.000268
55	0.001652
56	0.000050
57	0.000024
58	0.000014
59	0.000021
60	0.000017
61	0.000002
62	0.000000
63	0.000003
64	0.000000
65	0.000000
66	0.000001
67	0.000000
68	0.000000
69	0.000000
70	0.000000
71	0.000000
72	0.000001
73	0.000000
74	0.000000
75	0.000000
76	0.000000
77	0.000000
78	0.000000
79	0.000001
80	0.000074
81	0.000105
82	0.000025
83	0.000033
84	0.000013
