name	Unique Positions	Total Tags
genome=/bigdata/stajichlab/shared/projects/SharpShooter/H_vitripennis_genome/annotation/genomes/Homalodisca_vitripennis.A6A7A9_masurca_v1.masked_RModeler.fasta	305590	2398495.0
fragmentLengthEstimate=150		
peakSizeEstimate=75		
tagsPerBP=0.000000		
averageTagsPerPosition=4.381		
averageTagLength=23.862		
gsizeEstimate=1269146768		
averageFragmentGCcontent=0.397		
singleTagFile=true		
scaffold_1	63	484.0
scaffold_10	193	267.0
scaffold_100	115	152.0
scaffold_1000	14	21.0
scaffold_10000	1	1.0
scaffold_10002	1	2.0
scaffold_10003	7	10.0
scaffold_10004	3	4.0
scaffold_10005	1	3.0
scaffold_10006	37	49.0
scaffold_10007	3	3.0
scaffold_1001	30	44.0
scaffold_10010	2	3.0
scaffold_10012	3	4.0
scaffold_10015	2	2.0
scaffold_10016	1	1.0
scaffold_10017	1	2.0
scaffold_10019	2	3.0
scaffold_1002	61	94.0
scaffold_10022	3	31.0
scaffold_10023	1	1.0
scaffold_10024	1	1.0
scaffold_10025	18	20.0
scaffold_10026	2	2.0
scaffold_10027	2	2.0
scaffold_10028	1	1.0
scaffold_10029	5	10.0
scaffold_1003	9	13.0
scaffold_10032	1	2.0
scaffold_10035	6	6.0
scaffold_10039	3	5.0
scaffold_1004	26	36.0
scaffold_10040	2	7.0
scaffold_10041	9	16.0
scaffold_10043	17	20.0
scaffold_10045	177	337.0
scaffold_10047	5	9.0
scaffold_10048	1	1.0
scaffold_1005	15	20.0
scaffold_10050	2	2.0
scaffold_10052	15	20.0
scaffold_10053	2	2.0
scaffold_10055	2	2.0
scaffold_10056	5	8.0
scaffold_10057	1	1.0
scaffold_10059	2	2.0
scaffold_1006	293	372.0
scaffold_10061	12	19.0
scaffold_10062	2	2.0
scaffold_10063	4	4.0
scaffold_10065	5	6.0
scaffold_10066	2	2.0
scaffold_10067	1	1.0
scaffold_10068	2	3.0
scaffold_10069	4	4.0
scaffold_1007	12	13.0
scaffold_10070	1	1.0
scaffold_10071	15	19.0
scaffold_10072	3	5.0
scaffold_10073	1	1.0
scaffold_10074	3	3.0
scaffold_10075	1	1.0
scaffold_10076	2	5.0
scaffold_10077	1	1.0
scaffold_10078	1	1.0
scaffold_10079	7	7.0
scaffold_1008	86	113.0
scaffold_10080	1	1.0
scaffold_10081	187	398.0
scaffold_10082	1	1.0
scaffold_10083	2	2.0
scaffold_10085	3	4.0
scaffold_10087	1	3.0
scaffold_10089	4	5.0
scaffold_1009	121	169.0
scaffold_10091	2	3.0
scaffold_10092	1	1.0
scaffold_10093	17	23.0
scaffold_10094	3	4.0
scaffold_10096	2	3.0
scaffold_10097	66	122.0
scaffold_10098	2	3.0
scaffold_10099	1	1.0
scaffold_101	89	119.0
scaffold_1010	15	18.0
scaffold_10100	15	24.0
scaffold_10101	2	2.0
scaffold_10102	1	1.0
