name	Unique Positions	Total Tags
scaffold_10103	30	55.0
scaffold_10106	4	12.0
scaffold_10107	1	1.0
scaffold_10109	1	1.0
scaffold_1011	13	17.0
scaffold_10112	2	2.0
scaffold_10113	3	7.0
scaffold_10114	31	41.0
scaffold_10116	1	1.0
scaffold_10117	1	1.0
scaffold_10118	5	5.0
scaffold_10119	0	0.0
scaffold_1012	12	15.0
scaffold_10120	3	3.0
scaffold_10121	1	2.0
scaffold_10123	1	1.0
scaffold_10125	1	1.0
scaffold_10129	1	1.0
scaffold_1013	56	109.0
scaffold_10131	1	1.0
scaffold_10132	1	1.0
scaffold_10133	2	2.0
scaffold_10134	2	2.0
scaffold_10135	3	4.0
scaffold_10137	5	5.0
scaffold_1014	23	40.0
scaffold_10140	1	1.0
scaffold_10141	2	3.0
scaffold_10142	1	2.0
scaffold_10143	4	8.0
scaffold_10144	3	3.0
scaffold_10146	1	3.0
scaffold_10147	3	4.0
scaffold_10148	114	249.0
scaffold_10149	4	7.0
scaffold_1015	11	18.0
scaffold_10150	3	3.0
scaffold_10151	3	4.0
scaffold_10152	2	2.0
scaffold_10153	7	8.0
scaffold_10154	215	358.0
scaffold_10156	4	5.0
scaffold_10157	9	14.0
scaffold_10158	68	96.0
scaffold_10159	69	93.0
scaffold_1016	76	108.0
scaffold_10160	1	1.0
scaffold_10162	1	1.0
scaffold_10163	6	9.0
scaffold_10167	2	3.0
scaffold_10168	2	2.0
scaffold_1017	620	2807.0
scaffold_10170	2	3.0
scaffold_10171	7	10.0
scaffold_10172	1	1.0
scaffold_10174	2	3.0
scaffold_10176	4	4.0
scaffold_10177	3	4.0
scaffold_10178	6	9.0
scaffold_1018	30	51.0
scaffold_10180	5	5.0
scaffold_10181	1	2.0
scaffold_10182	1	1.0
scaffold_10183	2	2.0
scaffold_10184	1	1.0
scaffold_10185	1	1.0
scaffold_10186	3	3.0
scaffold_10187	4	5.0
scaffold_10188	3	3.0
scaffold_1019	43	73.0
scaffold_10191	1	1.0
scaffold_10192	2	2.0
scaffold_10195	2	2.0
scaffold_10196	1	2.0
scaffold_10197	3	5.0
scaffold_10198	3	4.0
scaffold_102	59	86.0
scaffold_1020	59	83.0
scaffold_10200	1	1.0
scaffold_10204	5	6.0
scaffold_10205	5	5.0
scaffold_10206	1	1.0
scaffold_10207	1	1.0
scaffold_10208	2	2.0
scaffold_1021	14	18.0
scaffold_10210	19	23.0
scaffold_10211	5	5.0
scaffold_10212	2	2.0
scaffold_10216	17	22.0
scaffold_10217	1	1.0
scaffold_10218	5	7.0
scaffold_1022	40	55.0
scaffold_10220	8	17.0
scaffold_10221	1	2.0
scaffold_10223	2	3.0
scaffold_10224	2	2.0
scaffold_10225	4	6.0
scaffold_10226	1	2.0
scaffold_10228	3	3.0
scaffold_10229	3	3.0
scaffold_1023	12	28.0
scaffold_10230	1	1.0
scaffold_10231	2	5.0
scaffold_10232	4	5.0
scaffold_10233	4	6.0
scaffold_10234	7	9.0
scaffold_10236	2	2.0
scaffold_10238	1	1.0
scaffold_10239	1	1.0
scaffold_1024	14	15.0
scaffold_10240	1	2.0
scaffold_10241	2	3.0
scaffold_10242	4	5.0
scaffold_10243	30	43.0
scaffold_10245	1	2.0
scaffold_10246	3	3.0
scaffold_10249	4	4.0
scaffold_1025	64	89.0
scaffold_10250	4	9.0
scaffold_10251	5	16.0
scaffold_10253	1	1.0
scaffold_10254	3	4.0
scaffold_10255	5	10.0
scaffold_10256	3	5.0
scaffold_10258	1	1.0
scaffold_10259	2	2.0
scaffold_1026	41	58.0
scaffold_10260	1	1.0
scaffold_10262	1	1.0
scaffold_10264	5	9.0
scaffold_10265	5	6.0
scaffold_10266	2	2.0
scaffold_10267	4	5.0
scaffold_10268	3	3.0
scaffold_10269	1	2.0
scaffold_1027	91	125.0
scaffold_10270	2	2.0
scaffold_10272	2	2.0
scaffold_10273	2	2.0
scaffold_10274	4	4.0
scaffold_10275	6	11.0
scaffold_10278	2	2.0
scaffold_10279	14	19.0
scaffold_1028	17	20.0
scaffold_10281	9	22.0
scaffold_10282	2	3.0
scaffold_10284	2	2.0
scaffold_10286	2	2.0
scaffold_10287	3	3.0
scaffold_10288	2	3.0
scaffold_1029	10	13.0
scaffold_10290	3	3.0
scaffold_10291	11	13.0
scaffold_10295	4	5.0
scaffold_10296	2	3.0
scaffold_10298	112	178.0
scaffold_10299	8	12.0
scaffold_103	183	323.0
scaffold_1030	28	38.0
scaffold_10300	1	1.0
scaffold_10301	14	20.0
scaffold_10302	1	1.0
scaffold_10303	2	2.0
scaffold_10304	10	12.0
scaffold_10305	5	6.0
scaffold_10306	5	5.0
scaffold_10307	1	1.0
scaffold_10309	2	2.0
scaffold_1031	3	3.0
scaffold_10313	3	5.0
scaffold_10314	6	7.0
scaffold_10318	2	2.0
scaffold_10319	5	7.0
scaffold_1032	8	12.0
scaffold_10320	2	3.0
scaffold_10322	28	42.0
scaffold_10328	9	14.0
scaffold_1033	6	9.0
scaffold_10330	1	1.0
scaffold_10331	2	3.0
scaffold_10332	6	12.0
scaffold_10333	1	4.0
scaffold_10334	5	7.0
scaffold_10337	9	24.0
scaffold_10338	5	8.0
scaffold_1034	6	10.0
scaffold_10340	3	5.0
scaffold_10341	324	751.0
scaffold_10342	2	3.0
scaffold_10344	4	7.0
scaffold_10346	9	41.0
scaffold_1035	795	1944.0
scaffold_10350	2	2.0
scaffold_10352	2	2.0
scaffold_10353	11	16.0
scaffold_10355	2	3.0
scaffold_10357	3	7.0
scaffold_10358	3	4.0
scaffold_10359	3	3.0
scaffold_1036	130	160.0
scaffold_10360	3	4.0
scaffold_10361	4	9.0
scaffold_10362	1	1.0
scaffold_10363	3	4.0
scaffold_10364	2	2.0
scaffold_10366	2	2.0
scaffold_10367	2	2.0
scaffold_10368	177	301.0
scaffold_1037	40	59.0
scaffold_10370	2	5.0
scaffold_10372	2	2.0
scaffold_10373	4	5.0
scaffold_10374	5	5.0
scaffold_10375	10	14.0
scaffold_10376	2	2.0
scaffold_10377	2	2.0
scaffold_10378	2	2.0
scaffold_1038	27	32.0
scaffold_10381	1	1.0
scaffold_10382	2	3.0
scaffold_10385	2	2.0
scaffold_10386	12	21.0
scaffold_10387	20	26.0
scaffold_10388	3	3.0
scaffold_10389	1	2.0
scaffold_1039	18	21.0
scaffold_10390	20	23.0
scaffold_10391	17	19.0
scaffold_10392	15	20.0
scaffold_10393	7	16.0
scaffold_10394	2	2.0
scaffold_10395	4	14.0
scaffold_10397	1	1.0
scaffold_10398	6	7.0
scaffold_10399	1	3.0
scaffold_104	15	16.0
scaffold_1040	19	27.0
scaffold_10401	2	2.0
scaffold_10402	6	8.0
scaffold_10403	45	56.0
scaffold_10405	16	19.0
scaffold_10406	89	274.0
scaffold_10407	2	2.0
scaffold_10408	2	2.0
scaffold_10409	1	2.0
scaffold_1041	7	8.0
scaffold_10412	1	1.0
scaffold_10414	1	1.0
scaffold_10416	1	1.0
scaffold_10418	1	2.0
scaffold_10419	10	11.0
scaffold_1042	4	7.0
scaffold_10420	1	1.0
scaffold_10421	3	3.0
scaffold_10422	2	4.0
scaffold_10423	2	2.0
scaffold_10425	4	4.0
scaffold_10426	2	2.0
scaffold_10428	115	200.0
scaffold_1043	7	8.0
scaffold_10432	57	114.0
scaffold_10433	4	4.0
scaffold_10434	1	1.0
scaffold_10435	5	7.0
scaffold_10436	1	2.0
scaffold_10437	1	1.0
scaffold_10438	7	9.0
scaffold_10439	1	1.0
scaffold_1044	66	107.0
scaffold_10441	1	3.0
scaffold_10442	2	2.0
scaffold_10443	15	26.0
scaffold_10445	4	4.0
scaffold_10447	2	3.0
scaffold_10448	2	2.0
scaffold_10449	1	1.0
scaffold_1045	15	43.0
scaffold_10450	4	4.0
scaffold_10451	1	1.0
scaffold_10452	3	3.0
scaffold_10454	1	1.0
scaffold_10455	1	5.0
scaffold_10456	4	5.0
scaffold_10457	1	1.0
scaffold_10458	1	1.0
scaffold_10459	10	12.0
scaffold_1046	115	192.0
scaffold_10461	1	2.0
scaffold_10462	3	5.0
scaffold_10463	5	9.0
scaffold_10464	238	2309.0
scaffold_10466	1	2.0
scaffold_10467	3	3.0
scaffold_10468	2	3.0
scaffold_10469	10	20.0
scaffold_1047	30	42.0
scaffold_10470	5	10.0
scaffold_10471	4	5.0
scaffold_10473	44	62.0
scaffold_10475	1	1.0
scaffold_10476	1	2.0
scaffold_10477	4	7.0
scaffold_1048	7	10.0
scaffold_10480	4	4.0
scaffold_10481	11	12.0
scaffold_10482	2	2.0
scaffold_10483	2	2.0
scaffold_10484	2	3.0
scaffold_10486	26	41.0
scaffold_10487	1	1.0
scaffold_10488	11	15.0
scaffold_10489	1	1.0
scaffold_1049	16	20.0
scaffold_10490	1	1.0
scaffold_10491	1	1.0
scaffold_10492	7	7.0
scaffold_10495	5	5.0
scaffold_10496	2	3.0
scaffold_10497	4	5.0
scaffold_10498	1	1.0
scaffold_10499	170	564.0
scaffold_105	87	105.0
scaffold_1050	49	57.0
scaffold_10500	8	12.0
scaffold_10501	2	2.0
scaffold_10502	12	14.0
scaffold_10503	4	4.0
scaffold_10504	2	2.0
scaffold_10508	50	226.0
scaffold_10509	1	1.0
scaffold_1051	18	27.0
scaffold_10510	1	1.0
scaffold_10514	21	30.0
scaffold_10515	15	18.0
scaffold_10516	2	2.0
scaffold_10517	7	7.0
scaffold_10518	1	1.0
scaffold_10519	10	14.0
scaffold_1052	23	32.0
scaffold_10520	3	5.0
scaffold_10521	1	1.0
scaffold_10522	5	6.0
scaffold_10523	1	1.0
scaffold_10525	1	1.0
scaffold_10527	1	1.0
scaffold_10529	2	3.0
scaffold_1053	7	8.0
scaffold_10531	3	4.0
scaffold_10532	1	2.0
scaffold_10533	1	1.0
scaffold_10537	6	6.0
scaffold_10538	1	1.0
scaffold_10539	22	29.0
scaffold_1054	26	35.0
scaffold_10540	14	15.0
scaffold_10541	3	3.0
scaffold_10543	1	1.0
scaffold_10544	5	7.0
scaffold_10546	1	1.0
scaffold_10547	1	1.0
scaffold_10549	1	1.0
scaffold_1055	4	5.0
scaffold_10550	1	1.0
scaffold_10551	5	5.0
scaffold_10552	2	2.0
scaffold_10553	1	1.0
scaffold_10554	22	27.0
scaffold_10555	2	3.0
scaffold_10556	6	8.0
scaffold_10557	1	1.0
scaffold_10558	1	5.0
scaffold_10559	9	14.0
scaffold_1056	90	107.0
scaffold_10560	1	1.0
scaffold_10561	17	18.0
scaffold_10562	1	3.0
scaffold_10564	2	2.0
scaffold_10565	1	1.0
scaffold_10567	25	29.0
scaffold_10568	16	29.0
scaffold_10569	2	2.0
scaffold_1057	19	27.0
scaffold_10570	1	1.0
scaffold_10571	1	1.0
scaffold_10573	8	12.0
scaffold_10576	1	1.0
scaffold_10577	2	3.0
scaffold_10579	4	6.0
scaffold_1058	55	67.0
scaffold_10581	5	8.0
scaffold_10582	1	1.0
scaffold_10583	7	10.0
scaffold_10584	5	7.0
scaffold_10585	1	1.0
scaffold_10586	3	5.0
scaffold_10588	14	23.0
scaffold_10589	4	8.0
scaffold_1059	50	67.0
scaffold_10590	7	12.0
scaffold_10592	1	1.0
scaffold_10593	3	3.0
scaffold_10595	7	9.0
scaffold_10596	4	4.0
scaffold_10598	84	146.0
scaffold_106	78	106.0
scaffold_1060	142	193.0
scaffold_10600	2	2.0
scaffold_10601	2	3.0
scaffold_10602	3	3.0
scaffold_10605	14	21.0
scaffold_10606	5	5.0
scaffold_10607	1	1.0
scaffold_10608	4	4.0
scaffold_10609	2	2.0
scaffold_1061	51	79.0
scaffold_10610	2	4.0
scaffold_10611	2	2.0
scaffold_10612	15	17.0
scaffold_10613	4	5.0
scaffold_10615	1	2.0
scaffold_10617	15	15.0
scaffold_1062	13	29.0
scaffold_10620	8	498.0
scaffold_10621	2	4.0
scaffold_10624	3	4.0
scaffold_10627	3	3.0
scaffold_10628	1	1.0
scaffold_10629	2	6.0
scaffold_1063	29	40.0
scaffold_10630	1	1.0
scaffold_10631	1	1.0
scaffold_10632	4	6.0
scaffold_10633	1	1.0
scaffold_10635	1	1.0
scaffold_10636	6	9.0
scaffold_10637	4	5.0
scaffold_10638	4	4.0
scaffold_10639	1	1.0
scaffold_1064	99	192.0
scaffold_10640	76	161.0
scaffold_10641	1	1.0
scaffold_10642	7	7.0
scaffold_10644	1	1.0
scaffold_10646	1	2.0
scaffold_10648	12	14.0
scaffold_1065	5	7.0
scaffold_10652	197	720.0
scaffold_10656	20	38.0
scaffold_10657	1	1.0
scaffold_10658	1	2.0
scaffold_10659	1	1.0
scaffold_1066	25	31.0
scaffold_10660	1	7.0
scaffold_10661	1	1.0
scaffold_10662	10	10.0
scaffold_10664	2	2.0
scaffold_10666	2	2.0
scaffold_10668	1	1.0
scaffold_10669	29	33.0
scaffold_1067	29	54.0
scaffold_10672	2	2.0
scaffold_10674	1	1.0
scaffold_10676	1	1.0
scaffold_10678	98	200.0
scaffold_1068	34	49.0
scaffold_10680	15	18.0
scaffold_10681	5	6.0
scaffold_10683	1	1.0
scaffold_10684	1	1.0
scaffold_10685	2	2.0
scaffold_10686	1	1.0
scaffold_10687	1	1.0
scaffold_10688	1	1.0
scaffold_10689	2	2.0
scaffold_1069	49	58.0
scaffold_10690	1	3.0
scaffold_10691	1	1.0
scaffold_10693	3	4.0
scaffold_10694	3	3.0
scaffold_10695	13	17.0
scaffold_10698	10	12.0
scaffold_10699	3	4.0
scaffold_107	57	77.0
scaffold_1070	44	73.0
scaffold_10701	1	1.0
scaffold_10702	8	9.0
scaffold_10703	2	2.0
scaffold_10704	1	1.0
scaffold_10706	2	3.0
scaffold_10708	4	18.0
scaffold_10709	1	1.0
scaffold_1071	12	23.0
scaffold_10712	2	3.0
scaffold_10713	1	1.0
scaffold_10714	1	2.0
scaffold_10716	2	3.0
scaffold_10717	26	58.0
scaffold_10719	6	8.0
scaffold_1072	26	34.0
scaffold_10720	1	1.0
scaffold_10723	1	2.0
scaffold_10725	1	1.0
scaffold_10726	5	9.0
scaffold_10727	1	1.0
scaffold_10728	1	1.0
scaffold_1073	10	16.0
scaffold_10731	2	3.0
scaffold_10732	4	5.0
scaffold_10733	20	26.0
scaffold_10735	6	8.0
scaffold_10736	5	5.0
scaffold_10737	15	23.0
scaffold_10738	157	254.0
scaffold_1074	31	39.0
scaffold_10741	4	6.0
scaffold_10742	9	10.0
scaffold_10743	15	21.0
scaffold_10748	1	2.0
scaffold_10749	32	43.0
scaffold_1075	21	33.0
scaffold_10750	1	1.0
scaffold_10751	1	1.0
scaffold_10752	4	4.0
scaffold_10754	2	2.0
scaffold_10755	6	11.0
scaffold_10758	1	4.0
scaffold_10759	1	1.0
scaffold_1076	76	96.0
scaffold_10760	17	36.0
scaffold_10761	1	2.0
scaffold_10762	4	5.0
scaffold_10763	1	1.0
scaffold_10764	7	7.0
scaffold_10765	6	8.0
scaffold_10766	1	1.0
scaffold_10767	1	1.0
scaffold_10768	2	2.0
scaffold_10769	2	3.0
scaffold_1077	145	409.0
scaffold_10770	1	2.0
scaffold_10771	2	3.0
scaffold_10774	4	12.0
scaffold_10776	2	2.0
scaffold_10777	4	40.0
scaffold_10778	6	9.0
scaffold_1078	17	22.0
scaffold_10780	1	1.0
scaffold_10781	7	10.0
scaffold_10782	1	1.0
scaffold_10783	4	4.0
scaffold_10784	5	6.0
scaffold_10788	2	2.0
scaffold_10789	2	2.0
scaffold_1079	82	124.0
scaffold_10793	1	1.0
scaffold_10794	1	1.0
scaffold_10795	2	3.0
scaffold_10796	1	1.0
scaffold_10798	5	7.0
scaffold_108	60	81.0
scaffold_1080	395	781.0
scaffold_10800	2	4.0
scaffold_10801	1	1.0
scaffold_10803	1	2.0
scaffold_10804	2	2.0
scaffold_10807	72	217.0
scaffold_10809	5	7.0
scaffold_1081	6	8.0
scaffold_10810	1	1.0
scaffold_10811	2	2.0
scaffold_10812	1	1.0
scaffold_10813	2	2.0
scaffold_10815	1	2.0
scaffold_10816	5	5.0
scaffold_10817	2	2.0
scaffold_10818	7	9.0
scaffold_10819	5	7.0
scaffold_1082	38	76.0
scaffold_10822	1	1.0
scaffold_10823	2	2.0
scaffold_10824	5	6.0
scaffold_10825	1	1.0
scaffold_10827	1	1.0
scaffold_10829	4	5.0
scaffold_1083	21	38.0
scaffold_10830	2	2.0
scaffold_10831	3	3.0
scaffold_10832	1	1.0
scaffold_10833	4	5.0
scaffold_10834	1	3.0
scaffold_10836	3	4.0
scaffold_10837	13	17.0
scaffold_10839	4	10.0
scaffold_1084	152	224.0
scaffold_10841	1	1.0
scaffold_10842	13	16.0
scaffold_10844	1	1.0
scaffold_10846	8	14.0
scaffold_10847	2	2.0
scaffold_10848	1	3.0
scaffold_1085	44	61.0
scaffold_10850	3	5.0
scaffold_10852	5	14.0
scaffold_10853	1	2.0
scaffold_10855	24	27.0
scaffold_10856	19	27.0
scaffold_10857	42	79.0
scaffold_10858	3	3.0
scaffold_1086	10	14.0
scaffold_10861	5	7.0
scaffold_10862	7	12.0
scaffold_10863	15	20.0
scaffold_10864	4	7.0
scaffold_10867	2	2.0
scaffold_10868	1	1.0
scaffold_1087	29	42.0
scaffold_10870	1	1.0
scaffold_10871	3	3.0
scaffold_10872	2	2.0
scaffold_10873	10	127.0
scaffold_10876	6	9.0
scaffold_10877	4	69.0
scaffold_1088	8	12.0
scaffold_10880	2	2.0
scaffold_10881	3	3.0
scaffold_10882	2	2.0
scaffold_10883	2	2.0
scaffold_10885	2	3.0
scaffold_10886	1	1.0
scaffold_10887	2	2.0
scaffold_10888	2	2.0
scaffold_1089	6	10.0
scaffold_10890	1	2.0
scaffold_10896	10	12.0
scaffold_10897	2	2.0
scaffold_10898	3	4.0
scaffold_10899	2	3.0
scaffold_109	187	11991.0
scaffold_1090	47	52.0
scaffold_10900	1	1.0
scaffold_10901	10	12.0
scaffold_10902	1	2.0
scaffold_10903	16	106.0
scaffold_10904	12	15.0
scaffold_10905	1	1.0
scaffold_10908	1	1.0
scaffold_10909	1	2.0
scaffold_1091	12	16.0
scaffold_10910	2	2.0
scaffold_10911	1	3.0
scaffold_10912	1	3.0
scaffold_10915	1	1.0
scaffold_10916	9	12.0
scaffold_10919	3	3.0
scaffold_1092	7	10.0
scaffold_10920	1	1.0
scaffold_10921	1	2.0
scaffold_10922	1	1.0
scaffold_10924	2	3.0
scaffold_10926	1	1.0
scaffold_10928	1	1.0
scaffold_1093	14	17.0
scaffold_10930	1	1.0
scaffold_10931	6	6.0
scaffold_10933	2	4.0
scaffold_10936	1	1.0
scaffold_10937	9	10.0
scaffold_10938	1	2.0
scaffold_10939	1	1.0
scaffold_1094	68	86.0
scaffold_10940	1	1.0
scaffold_10944	1	1.0
scaffold_10945	30	40.0
scaffold_1095	22	32.0
scaffold_10950	1	1.0
scaffold_10951	4	23.0
scaffold_10952	2	4.0
scaffold_10953	2	4.0
scaffold_10954	12	17.0
scaffold_10955	11	16.0
scaffold_10956	3	11.0
scaffold_10957	3	6.0
scaffold_10958	2	2.0
scaffold_10959	5	9.0
scaffold_1096	9	9.0
scaffold_10960	18	25.0
scaffold_10961	3	6.0
scaffold_10962	2	3.0
scaffold_10964	35	646.0
scaffold_10965	1	1.0
scaffold_10966	1	1.0
scaffold_10967	4	4.0
scaffold_1097	159	209.0
scaffold_10971	2	2.0
scaffold_10972	9	15.0
scaffold_10973	2	2.0
scaffold_10974	2	2.0
scaffold_10975	3	3.0
scaffold_10977	1	1.0
scaffold_10978	2	2.0
scaffold_10979	19	22.0
scaffold_1098	67	99.0
scaffold_10983	1	1.0
scaffold_10985	1	1.0
scaffold_10987	14	16.0
scaffold_10988	4	7.0
scaffold_1099	103	134.0
scaffold_10992	2	6.0
scaffold_10993	1	3.0
scaffold_10994	1	1.0
scaffold_10995	1	1.0
scaffold_10997	1	1.0
scaffold_11	205	277.0
scaffold_110	81	112.0
scaffold_1100	10	13.0
scaffold_11000	13	17.0
scaffold_11003	23	35.0
scaffold_11004	18	26.0
scaffold_11006	4	6.0
scaffold_11007	15	18.0
scaffold_11008	6	7.0
scaffold_11009	1	2.0
scaffold_1101	68	88.0
scaffold_11011	2	3.0
scaffold_11012	3	3.0
scaffold_11015	48	81.0
scaffold_11016	2	2.0
scaffold_11018	1	2.0
scaffold_1102	13	79.0
scaffold_11022	1	1.0
scaffold_11023	1	1.0
scaffold_11024	8	8.0
scaffold_11025	66	113.0
scaffold_11026	6	10.0
scaffold_11027	3	3.0
scaffold_11028	1	1.0
scaffold_1103	29	39.0
scaffold_11032	3	3.0
scaffold_11033	2	2.0
scaffold_11034	3	3.0
scaffold_11035	1	1.0
scaffold_11036	1	1.0
scaffold_11039	1	1.0
scaffold_1104	42	372.0
scaffold_11040	1	2.0
scaffold_11042	1	1.0
scaffold_11043	1	1.0
scaffold_11044	12	16.0
scaffold_11045	1	1.0
scaffold_11046	8	9.0
scaffold_11047	7	8.0
scaffold_11048	3	3.0
scaffold_11049	2	4.0
scaffold_1105	15	20.0
scaffold_11050	1	1.0
scaffold_11051	1	1.0
scaffold_11052	1	1.0
scaffold_11053	1	1.0
scaffold_11054	5	6.0
scaffold_11057	1	1.0
scaffold_11058	3	4.0
scaffold_1106	52	72.0
scaffold_11064	1	1.0
scaffold_11065	2	2.0
scaffold_11066	1	1.0
scaffold_11069	1	2.0
scaffold_1107	21	25.0
scaffold_11070	3	5.0
scaffold_11071	2	2.0
scaffold_11072	2	2.0
scaffold_11074	2	4.0
scaffold_11075	10	10.0
scaffold_11076	3	7.0
scaffold_11079	1	1.0
scaffold_1108	17	31.0
scaffold_11080	18	22.0
scaffold_11081	2	2.0
scaffold_11083	1	1.0
scaffold_11084	4	12.0
scaffold_11086	4	8.0
scaffold_11087	4	7.0
scaffold_11089	5	12.0
scaffold_1109	17	23.0
scaffold_11090	2	2.0
scaffold_11092	3	5.0
scaffold_11095	8	12.0
scaffold_11096	1	1.0
scaffold_11097	2	2.0
scaffold_11099	1	1.0
scaffold_111	28	49.0
scaffold_1110	24	50.0
scaffold_11100	1	1.0
scaffold_11102	6	7.0
scaffold_11103	2	2.0
scaffold_11105	1	1.0
scaffold_11106	3	3.0
scaffold_1111	13	14.0
scaffold_11111	3	12.0
scaffold_11112	19	46.0
scaffold_11113	8	8.0
scaffold_11114	11	24.0
scaffold_11115	1	1.0
scaffold_11116	34	39.0
scaffold_11117	138	211.0
scaffold_11118	1	1.0
scaffold_1112	20	36.0
scaffold_11121	1	1.0
scaffold_11123	7	11.0
scaffold_11125	13	245.0
scaffold_11126	3	3.0
scaffold_11127	1	1.0
scaffold_1113	7	14.0
scaffold_11130	2	3.0
scaffold_11131	1	3.0
scaffold_11132	3	3.0
scaffold_11134	1	1.0
scaffold_11136	5	7.0
scaffold_11138	4	5.0
scaffold_11139	2	2.0
scaffold_1114	5	7.0
scaffold_11140	1	1.0
scaffold_11141	3	3.0
scaffold_11142	2	2.0
scaffold_11143	2	2.0
scaffold_11144	12	18.0
scaffold_11145	2	2.0
scaffold_11148	1	1.0
scaffold_11149	1	1.0
scaffold_1115	63	84.0
scaffold_11151	4	6.0
scaffold_11152	5	8.0
scaffold_11153	1	1.0
scaffold_11154	1	3.0
scaffold_11155	70	105.0
scaffold_11156	2	2.0
scaffold_11159	3	4.0
scaffold_1116	4	5.0
scaffold_11160	1	1.0
scaffold_11162	2	3.0
scaffold_11163	13	16.0
scaffold_11164	14	19.0
scaffold_11166	1	1.0
scaffold_11168	1	1.0
scaffold_11169	2	3.0
scaffold_1117	42	54.0
scaffold_11171	2	3.0
scaffold_11174	2	3.0
scaffold_11175	3	3.0
scaffold_11176	1	1.0
scaffold_11177	2	3.0
scaffold_11178	4	5.0
scaffold_11179	1	8.0
scaffold_1118	15	21.0
scaffold_11180	2	2.0
scaffold_11185	1	1.0
scaffold_11186	4	4.0
scaffold_11188	3	5.0
scaffold_11189	1	1.0
scaffold_1119	61	95.0
scaffold_11191	1	2.0
scaffold_11192	5	6.0
scaffold_11194	2	2.0
scaffold_11195	2	2.0
scaffold_11196	1	1.0
scaffold_11197	3	4.0
scaffold_11198	2	2.0
scaffold_112	102	135.0
scaffold_1120	12	13.0
scaffold_11200	3	5.0
scaffold_11201	1	1.0
scaffold_11202	1	1.0
scaffold_11203	2	2.0
scaffold_11204	6	8.0
scaffold_11205	4	8.0
scaffold_11206	5	8.0
scaffold_11207	1	1.0
scaffold_11208	1	1.0
scaffold_11209	8	9.0
scaffold_1121	28	38.0
scaffold_11211	4	5.0
scaffold_11212	2	2.0
scaffold_11213	4	4.0
scaffold_11214	1	1.0
scaffold_11215	3	4.0
scaffold_11217	1	1.0
scaffold_1122	20	28.0
scaffold_11220	1	1.0
scaffold_11221	4	5.0
scaffold_11222	2	2.0
scaffold_11223	4	5.0
scaffold_11224	1	1.0
scaffold_11228	1	1.0
scaffold_11229	2	3.0
scaffold_1123	17	24.0
scaffold_11231	3	4.0
